"player_id","team_id","general_position","minutes_played","shots","shots_on_target","goals","xgoals","xplace","goals_minus_xgoals","key_passes","primary_assists","xassists","primary_assists_minus_xassists","goals_plus_primary_assists","xgoals_plus_xassists","points_added","xpoints_added","player_name","birth_date","weight_lb","nationality","season_name","primary_broad_position","primary_general_position","secondary_general_position","secondary_broad_position","height_cm"
"9YqddY89qv","mvzqoLZQap","CB",162,1,0,0,0.0269,-0.0269,-0.0269,0,0,0,0,0,0.0269,0,0.0215,"Cesar Ruvalcaba","2001-07-13",180,"USA","2025","DF","CB","FB","DF",186
"9YqdEp7QvJ","APk5LGOMOW","ST",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sinisa Ubiparipovic","1983-08-25",154,"Bosnia and Herzegovina","2013","FW","ST","W","FW",175
"9YqdEVkQvJ","X0Oq66zq6D, YgOMngl5wN","W",3705,75,23,8,5.8107,0.7988,2.1893,73,10,7.2466,2.7534,18,13.0572,4.0887,3.4943,"Arturo Álvarez","1985-06-28",172,"El Salvador","2016, 2017, 2018","MF","W","ST","FW",175
"9Yqdj0LMvJ","KAqBN0Vqbg","CB",1176,2,1,0,0.0595,0.1192,-0.0595,1,0,0.037,-0.037,0,0.0965,0,0.0489,"Fernando Meza","1990-03-21",141,"Argentina","2020","DF","CB","FB","DF",175
"9Yqdk7R85v","YgOMngl5wN","DM",3871,30,6,2,2.1481,-0.6154,-0.1481,15,0,1.2501,-1.2501,2,3.3982,2.144,1.0145,"Juan David Cabezas","1991-02-27",174,"Colombia","2017, 2018, 2019","MF","DM","CM","MF",182
"9Yqdk9bk5v","Z2vQ1xlqrA","CM",3104,73,26,6,6.4893,0.0488,-0.4893,42,4,3.4823,0.5177,10,9.9716,2.3467,3.2298,"Yohan Croizet","1992-02-15",170,"France","2018, 2019","MF","CM","DM","MF",177
"9Yqdkdym5v","0KPqjA456v","CM",2548,30,7,0,2.3194,-1.2506,-2.3194,19,2,2.049,-0.049,2,4.3684,0,1.5611,"Rafael Baca","1989-09-11",161,"Mexico","2013","MF","CM","DM","MF",172
"9Yqdko995v","kRQabn8MKZ","FB",1219,7,1,0,0.1815,-0.059,-0.1815,7,1,0.8051,0.1949,1,0.9867,0,0.1417,"Ryan Richter","1989-04-12",176,"USA","2013","DF","FB","WB","DF",187
"9YqdKPj5vJ","zeQZkL1MKw","CB",901,3,0,0,0.1699,-0.1699,-0.1699,0,0,0,0,0,0.1699,0,0.0934,"Ryan Shawcross","1987-10-04",168,"England","2021","DF","CB","FB","DF",190
"9YqdkWYR5v","WBLMvYAQxe","CM",2475,25,4,2,2.1969,-1.0588,-0.1969,26,3,1.6772,1.3228,5,3.874,1.5723,1.3607,"Andrés Flores","1990-08-31",148,"El Salvador","2018, 2019, 2020","MF","CM","W","FW",170
"9YqdkXVO5v","eVq3ya6MWO","W",163,5,4,0,0.1935,0.2134,-0.1935,3,0,0.077,-0.077,0,0.2706,0,0.185,"Cristian Tello","1991-08-11",143,"Spain","2022","FW","W","ST","FW",177
"9YqdljOqvJ","APk5LGOMOW","CM",2076,66,17,7,3.9172,-0.3204,3.0828,39,9,4.8572,4.1428,16,8.7744,3.4959,2.1816,"Blerim Dzemaili","1986-04-12",161,"Switzerland","2017","MF","CM","AM","MF",177
"9YqdnlmMvJ","19vQ2095K6, WBLMvYAQxe","CB",3692,41,10,0,2.191,-1.1985,-2.191,10,0,0.7451,-0.7451,0,2.936,0,1.5533,"Claude Dielna","1987-12-14",190,"France","2017, 2018, 2019","DF","CB","FB","DF",182
"9YqdobRm5v","19vQ2095K6","DM",2145,5,1,0,0.0884,0.1511,-0.0884,13,1,1.6494,-0.6494,1,1.7378,0,0.0918,"Maciel","2000-01-18",150,"Brazil","2021, 2022","MF","DM","CM","MF",167
"9Yqdoey95v","NPqxKXZ59d","CB",1181,4,1,0,0.3082,-0.2577,-0.3082,0,0,0,0,0,0.3082,0,0.1189,"Jan Sobociński","1999-03-20",180,"Poland","2022, 2023","DF","CB","FB","DF",185
